Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;9646;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9651;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9652;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9653;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9654;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9655;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9656;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9657;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9708;;;;;;;;;;;;;;;;;;;;;126
Aratoca;9709;;;;;;;;;;;;;;;;;;;;;143
Aratoca;9710;;;;;;;;;;;;;;;;;;;;;133
Aratoca;9711;;;;;;;;;;;;;;;;;;;;;134
Aratoca;9841;;;;;;;;;;;;;;;;;;;;;132
Aratoca;9842;;;;;;;;;;;;;;;;;;;;;135
Aratoca;9843;;;;;;;;;;;;;;;;;;;;;131
Aratoca;9844;;;;;;;;;;;;;;;;;;;;;133
Aratoca;9855;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9856;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9857;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9858;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9859;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9860;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9861;;;;;;;;;;;;;;;279;;;;;;
Aratoca;9912;;;;;;;;;;;;;34;;;;;;;;
Aratoca;9930;;;;;;;;;;;;;32;;;;;;;;
Aratoca;10411;;;;;;;;;;;;;;;;;;;;;122
Aratoca;10456;;;;;;;;;;;;;;;;;;;62;;
Aratoca;10471;;;;;;;;;;;;;;;279;;;;;;
Aratoca;10472;;;;;;;;;;;;;;;279;;;;;;
Aratoca;10513;;;;;;;;;;;;;;;;;;;;;133
Aratoca;10550;;;;;;;;;;;;;34;;;;;;;;
Aratoca;10561;;;;;;;;;;;;;;;;;;;;;138
Aratoca;10562;;;;;;;;;;;;;;;;;;;;;132
Aratoca;10563;;;;;;;;;;;;;;;;;;;;;133
Aratoca;10564;;;;;;;;;;;;;;;;;;;;;132
Aratoca;10565;;;;;;;;;;;;;;;;;;;;;121
Aratoca;10669;;;;;;;;;;;;;;;;;;;;;138
Aratoca;10670;;;;;;;;;;;;;;;;;;;;;131
Aratoca;10738;;;;;;;;;;;;;;;;;;;;;127
Aratoca;10739;;;;;;;;;;;;;;;;;;;;;139
Aratoca;10786;;;;;;;;;;;;;;;;;;;;;156
Aratoca;10791;;;;;;;;;;;;;;;279;;;;;;
Aratoca;10798;;;;;;;;;;;;;;;;;;;;;127
Aratoca;10846;;;;;;;;;;;;;;;;;;;62;;
Aratoca;10897;;;;;;;;;;;;;;;;;;;;;134
