Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;9640;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9641;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9642;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9643;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9644;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9645;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9646;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9651;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9652;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9653;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9654;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9655;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9656;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9657;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9708;;;;;;;;;;;;;;;;;;;;;1,26
Aratoca;9709;;;;;;;;;;;;;;;;;;;;;1,43
Aratoca;9710;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;9711;;;;;;;;;;;;;;;;;;;;;1,34
Aratoca;9841;;;;;;;;;;;;;;;;;;;;;1,32
Aratoca;9842;;;;;;;;;;;;;;;;;;;;;1,35
Aratoca;9843;;;;;;;;;;;;;;;;;;;;;1,31
Aratoca;9844;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;9855;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9856;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9857;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9858;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9859;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9860;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9861;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;9912;;;;;;;;;;;;;0,34;;;;;;;;
Aratoca;9930;;;;;;;;;;;;;0,32;;;;;;;;
Aratoca;10411;;;;;;;;;;;;;;;;;;;;;1,22
Aratoca;10456;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;10471;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;10472;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;10513;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;10550;;;;;;;;;;;;;0,34;;;;;;;;
Aratoca;10561;;;;;;;;;;;;;;;;;;;;;1,38
Aratoca;10562;;;;;;;;;;;;;;;;;;;;;1,32
Aratoca;10563;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;10564;;;;;;;;;;;;;;;;;;;;;1,32
Aratoca;10565;;;;;;;;;;;;;;;;;;;;;1,21
Aratoca;10669;;;;;;;;;;;;;;;;;;;;;1,38
Aratoca;10670;;;;;;;;;;;;;;;;;;;;;1,31
Aratoca;10738;;;;;;;;;;;;;;;;;;;;;1,27
Aratoca;10739;;;;;;;;;;;;;;;;;;;;;1,39
Aratoca;10786;;;;;;;;;;;;;;;;;;;;;1,56
Aratoca;10791;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;10798;;;;;;;;;;;;;;;;;;;;;1,27
Aratoca;10846;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;10897;;;;;;;;;;;;;;;;;;;;;1,34
Aratoca;10898;;;;;;;;;;;;;;;;;;;;;1,36
